id,name,category,subcategory,brand,price,rating,review_count,color,image_url,description,tags,features,amazon_url,flipkart_url,myntra_url,price_range,popularity_score
3,Sennheiser HD 600,Electronics,Headphones,Sennheiser,625.57,4.3,0,,/images/products/macbook_pro_14.png,Premium headphones by Sennheiser. The Sennheiser HD 600 features top-tier quality and performance. Perfect for electronics enthusiasts.,"audio,sennheiser,wireless,over-ear,noise-canceling,bluetooth",High quality|Durable design|Premium materials|Authentic Sennheiser product,https://www.amazon.in/s?k=Sennheiser%20HD%20600,https://www.flipkart.com/search?q=Sennheiser%20HD%20600,,premium,0.67
6,JBL Live 660NC Max,Electronics,Headphones,JBL,104.56,3.7,0,,/images/products/sony_headphones.png,Premium headphones by JBL. The JBL Live 660NC Max features top-tier quality and performance. Perfect for electronics enthusiasts.,"over-ear,wireless,audio,jbl,bluetooth,noise-canceling",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Live%20660NC%20Max,https://www.flipkart.com/search?q=JBL%20Live%20660NC%20Max,,mid-range,0.37
7,JBL Live 660NC Ultra,Electronics,Headphones,JBL,943.18,4.5,0,,/images/products/apple_airpods_max_silver.jpg,Premium headphones by JBL. The JBL Live 660NC Ultra features top-tier quality and performance. Perfect for electronics enthusiasts.,"audio,wireless,over-ear,noise-canceling,bluetooth,jbl",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Live%20660NC%20Ultra,https://www.flipkart.com/search?q=JBL%20Live%20660NC%20Ultra,,luxury,0.52
10,JBL Live 660NC,Electronics,Headphones,JBL,581.11,4.7,0,,/images/products/sony_headphones.png,Premium headphones by JBL. The JBL Live 660NC features top-tier quality and performance. Perfect for electronics enthusiasts.,"wireless,jbl,bluetooth,audio,over-ear,noise-canceling",High quality|Durable design|Premium materials|Authentic JBL product,https://www.amazon.in/s?k=JBL%20Live%20660NC,https://www.flipkart.com/search?q=JBL%20Live%20660NC,,premium,0.67
11,Jabra Elite 85h Ultra,Electronics,Headphones,Jabra,1398.89,4.2,0,,/images/products/macbook_pro_14.png,Premium headphones by Jabra. The Jabra Elite 85h Ultra features top-tier quality and performance. Perfect for electronics enthusiasts.,"noise-canceling,bluetooth,over-ear,audio,wireless,jabra",High quality|Durable design|Premium materials|Authentic Jabra product,https://www.amazon.in/s?k=Jabra%20Elite%2085h%20Ultra,https://www.flipkart.com/search?q=Jabra%20Elite%2085h%20Ultra,,luxury,0.18
13,Sony WH-1000XM5 Plus,Electronics,Headphones,Sony,1182.85,4.3,0,,/images/products/apple_airpods_max_silver.jpg,Premium headphones by Sony. The Sony WH-1000XM5 Plus features top-tier quality and performance. Perfect for electronics enthusiasts.,"audio,sony,over-ear,wireless,noise-canceling,bluetooth",High quality|Durable design|Premium materials|Authentic Sony product,https://www.amazon.in/s?k=Sony%20WH-1000XM5%20Plus,https://www.flipkart.com/search?q=Sony%20WH-1000XM5%20Plus,,luxury,0.69
15,Jabra Elite 85h,Electronics,Headphones,Jabra,311.02,3.8,0,,/images/products/macbook_pro_14.png,Premium headphones by Jabra. The Jabra Elite 85h features top-tier quality and performance. Perfect for electronics enthusiasts.,"jabra,over-ear,audio,bluetooth,noise-canceling,wireless",High quality|Durable design|Premium materials|Authentic Jabra product,https://www.amazon.in/s?k=Jabra%20Elite%2085h,https://www.flipkart.com/search?q=Jabra%20Elite%2085h,,premium,0.79
16,Sony WH-1000XM5,Electronics,Headphones,Sony,337.17,3.9,0,,/images/products/sony_headphones.png,Premium headphones by Sony. The Sony WH-1000XM5 features top-tier quality and performance. Perfect for electronics enthusiasts.,"wireless,noise-canceling,audio,bluetooth,sony,over-ear",High quality|Durable design|Premium materials|Authentic Sony product,https://www.amazon.in/s?k=Sony%20WH-1000XM5,https://www.flipkart.com/search?q=Sony%20WH-1000XM5,,premium,0.88
17,Apple AirPods Max,Electronics,Headphones,Apple,679.57,3.6,0,,/images/products/samsung_galaxy_buds_live_bluetooth_truly_wireless_in.jpg,Premium headphones by Apple. The Apple AirPods Max features top-tier quality and performance. Perfect for electronics enthusiasts.,"bluetooth,apple,noise-canceling,over-ear,audio,wireless",High quality|Durable design|Premium materials|Authentic Apple product,https://www.amazon.in/s?k=Apple%20AirPods%20Max,https://www.flipkart.com/search?q=Apple%20AirPods%20Max,,premium,0.26
18,Bose QuietComfort 45 V2,Electronics,Headphones,Bose,852.59,4.4,0,,/images/products/sony_headphones.png,Premium headphones by Bose. The Bose QuietComfort 45 V2 features top-tier quality and performance. Perfect for electronics enthusiasts.,"over-ear,bose,audio,noise-canceling,wireless,bluetooth",High quality|Durable design|Premium materials|Authentic Bose product,https://www.amazon.in/s?k=Bose%20QuietComfort%2045%20V2,https://www.flipkart.com/search?q=Bose%20QuietComfort%2045%20V2,,luxury,0.28
19,Bose QuietComfort 45,Electronics,Headphones,Bose,297.07,4.0,0,,/images/products/apple_airpods_max_silver.jpg,Premium headphones by Bose. The Bose QuietComfort 45 features top-tier quality and performance. Perfect for electronics enthusiasts.,"bluetooth,bose,noise-canceling,audio,over-ear,wireless",High quality|Durable design|Premium materials|Authentic Bose product,https://www.amazon.in/s?k=Bose%20QuietComfort%2045,https://www.flipkart.com/search?q=Bose%20QuietComfort%2045,,premium,0.34
25,Razer BlackWidow V3 Edition,Electronics,Keyboards,Razer,733.48,4.4,0,,/images/products/macbook_pro_14.png,Premium keyboards by Razer. The Razer BlackWidow V3 Edition features top-tier quality and performance. Perfect for electronics enthusiasts.,"wireless,productivity,razer,typing,rgb,mechanical",High quality|Durable design|Premium materials|Authentic Razer product,https://www.amazon.in/s?k=Razer%20BlackWidow%20V3%20Edition,https://www.flipkart.com/search?q=Razer%20BlackWidow%20V3%20Edition,,premium,0.17
27,Corsair K70 RGB,Electronics,Keyboards,Corsair,1230.94,4.1,0,,/images/products/keyboard1.png,Premium keyboards by Corsair. The Corsair K70 RGB features top-tier quality and performance. Perfect for electronics enthusiasts.,"mechanical,corsair,wireless,rgb,productivity,typing",High quality|Durable design|Premium materials|Authentic Corsair product,https://www.amazon.in/s?k=Corsair%20K70%20RGB,https://www.flipkart.com/search?q=Corsair%20K70%20RGB,,luxury,0.23
